,"test_time,model,Feature Extraction"
0,"0.25,LeNet,centroid"
0,"0.16,Logistic,centroid"
0,"2.04,ResNet,centroid"
0,"0.16,SVM,centroid"
0,"2.28,VGG,centroid"
0,"0.27,LeNet,chroma"
0,"0.18,Logistic,chroma"
0,"2.59,ResNet,chroma"
0,"0.18,SVM,chroma"
0,"2.37,VGG,chroma"
0,"0.34,LeNet,mel"
0,"0.16,Logistic,mel"
0,"2.67,ResNet,mel"
0,"0.17,SVM,mel"
0,"2.89,VGG,mel"
0,"0.58,LeNet,mfcc"
0,"0.54,Logistic,mfcc"
0,"6.39,ResNet,mfcc"
0,"0.57,SVM,mfcc"
0,"23.9,VGG,mfcc"
0,"0.23,LeNet,rolloff"
0,"0.17,Logistic,rolloff"
0,"2.04,ResNet,rolloff"
0,"0.16,SVM,rolloff"
0,"2.08,VGG,rolloff"
0,"0.29,LeNet,zcr"
0,"0.19,Logistic,zcr"
0,"2.02,ResNet,zcr"
0,"0.17,SVM,zcr"
0,"2.79,VGG,zcr"
